SerialNumber,PartNumber,ReceiverLine,ReceiverStation,AcquisitionDuration,SegmentCount,CSACLolCount,MinutesTillFirstCSACLol,StartPhaseMeasurementNS,AcqStartTimeDTUTC,FirstCSACLolDTUTC,LastCSACLolDTUTC,AcqEndTimeDTUTC,EndPhaseMeasurementNS,CSACAlarmCount,NumberOfLogRecords,AvgHeaterPower,MaxHeaterPower,BatteryChargeLevelInitial,BatteryChargeLevelFinal,BatteryDischargeRatePerHour,InitialHumidity,FinalHumidity,HumidityChange
7812,280720001,1649,5002,d27 h06 m21 s32,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 3:20:21,1368328839000000000,0,3928,10.81955,11.06,100,16,0.1283699,21.46755,23.2475,1.779945
3494,280720001,1649,5010,d27 h06 m21 s27,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 3:20:16,1368328834000000000,0,3928,10.44654,10.66,100,14.33333,0.1309172,28.13346,30.0487,1.915241
15238,280720003,1649,5018,d27 h06 m25 s28,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 3:24:16,1368329074000000000,0,3928,9.946829,10.24,100,32.33333,0.1033988,25.57868,27.96113,2.382448
7202,280720001,1649,5026,d27 h06 m21 s53,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 3:20:41,1368328859000000000,0,3928,11.06028,11.27,100,20.33333,0.1217466,24.27529,26.36877,2.093485
2988,280720001,1649,5034,d27 h06 m22 s06,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 3:20:54,1368328872000000000,0,3928,12.16462,12.4,97,13.33333,0.1278587,28.76977,30.87612,2.106356
3332,280720001,1649,5042,d27 h06 m22 s17,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 3:21:05,1368328883000000000,0,3928,13.78508,14.02,100,15,0.1298957,29.53919,31.67875,2.139557
3872,280720001,1649,5050,d27 h06 m22 s33,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 3:21:21,1368328899000000000,0,3928,9.186471,9.38,100,5.666667,0.1441577,29.00483,31.17075,2.165926
430,280720001,1649,5058,d27 h06 m27 s18,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 3:26:06,1368329184000000000,0,3928,11.82487,12.11,100,6.666667,0.1426123,26.72181,29.47831,2.756504
3778,280720001,1649,5066,d27 h06 m22 s58,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 3:21:46,1368328924000000000,0,3928,12.44899,12.72,100,18.66667,0.1242902,24.10113,26.63424,2.533106
8009,280720001,1649,5074,d27 h07 m17 s56,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 4:16:44,1368332222000000000,0,3928,10.1632,10.39,100,22.33333,0.118521,20.35606,22.32305,1.966986
